REALREAL GENUINE — P&L PROJECTION (USD),,,,,
,2026,2027,2028,2029,2030

KEY METRICS
Gross Merchandise Value (GMV),"180,000","950,000","4,500,000","15,000,000","45,000,000"
Blended Commission Rate,6.6%,6.2%,5.9%,5.6%,5.3%

REVENUE

  Platform Commission,"11,880","58,425","263,700","840,000","2,403,000"
    Tier 1: Items under $100,"3,600 (10% of 36,000)","14,250 (10% of 142,500)","54,000 (10% of 540,000)","150,000 (10% of 1,500,000)","360,000 (10% of 3,600,000)"
    Tier 2: Items $100–$500,"5,040 (7% of 72,000)","23,275 (7% of 332,500)","103,950 (7% of 1,485,000)","315,000 (7% of 4,500,000)","850,500 (7% of 12,150,000)"
"    Tier 3: Items $500–$2,000","2,700 (5% of 54,000)","16,625 (5% of 332,500)","78,750 (5% of 1,575,000)","262,500 (5% of 5,250,000)","787,500 (5% of 15,750,000)"
"    Tier 4: Items $2,000+","540 (3% of 18,000)","4,275 (3% of 142,500)","27,000 (3% of 900,000)","112,500 (3% of 3,750,000)","405,000 (3% of 13,500,000)"

  Co-Creation Revenue Share,"25,000","120,000","400,000","1,000,000","2,500,000"

TOTAL REVENUE,"36,880","178,425","663,700","1,840,000","4,903,000"

Cost of Revenue (18%),"(6,638)","(32,116)","(119,466)","(331,200)","(882,540)"
GROSS PROFIT,"30,242","146,309","544,234","1,508,800","4,020,460"
Gross Margin %,82.0%,82.0%,82.0%,82.0%,82.0%

OPERATING EXPENSES
  Design & Creative,"(120,000)","(200,000)","(350,000)","(500,000)","(700,000)"
  Brand Partnerships,"(60,000)","(120,000)","(250,000)","(400,000)","(600,000)"
  Marketing & Community,"(80,000)","(180,000)","(400,000)","(800,000)","(1,500,000)"
  Operations & Fulfillment,"(100,000)","(200,000)","(450,000)","(900,000)","(1,800,000)"
  Platform & Tech,"(40,000)","(80,000)","(150,000)","(250,000)","(400,000)"
  General & Admin,"(50,000)","(70,000)","(100,000)","(150,000)","(250,000)"
TOTAL OPERATING EXPENSES,"(450,000)","(850,000)","(1,700,000)","(3,000,000)","(5,250,000)"

EBITDA,"-419,758","-703,691","-1,155,766","-1,491,200","-1,229,540"
EBITDA Margin %,-1138.2%,-394.4%,-174.1%,-81.0%,-25.1%

GROWTH METRICS
Revenue YoY Growth,—,384%,272%,177%,166%
